Source,Target,Type,Weight
1,2,Undirected,0.40824829
1,3,Undirected,0.580740898
1,4,Undirected,0.46372615
1,5,Undirected,0.668068443
1,6,Undirected,0.330072291
1,7,Undirected,0.589352706
1,8,Undirected,0.497531086
1,9,Undirected,0.416419498
1,10,Undirected,0.242024354
1,11,Undirected,1.051075562
1,12,Undirected,0.556920367
1,13,Undirected,0.633181432
1,14,Undirected,0.566556101
1,15,Undirected,1.927574444
1,16,Undirected,0.529884161
1,17,Undirected,0.466390435
1,18,Undirected,0.598926516
1,19,Undirected,0.567893478
1,20,Undirected,1.056352747
1,21,Undirected,0.501142189
1,22,Undirected,0.319436399
1,23,Undirected,0.345873493
1,24,Undirected,0.306540856
1,25,Undirected,0.470012318
1,26,Undirected,1.026807443
1,27,Undirected,0.51260397
1,28,Undirected,0.216677897
1,29,Undirected,0.620369139
1,30,Undirected,0.500109672
1,31,Undirected,0.387136805
1,32,Undirected,0.295990757
1,33,Undirected,0.520977157
1,34,Undirected,0.646848128
1,35,Undirected,2.562815134
1,36,Undirected,0.342520505
1,37,Undirected,0.368243949
1,38,Undirected,0.590229029
1,39,Undirected,0.469127872
1,40,Undirected,0.285201763
1,41,Undirected,0.292448981
1,42,Undirected,0.483655667
1,43,Undirected,0.273593718
1,44,Undirected,0.466827564
1,45,Undirected,0.470930943
1,46,Undirected,0.394998977
1,47,Undirected,0.352423435
1,48,Undirected,1.560470701
1,49,Undirected,1.267650146
1,50,Undirected,0.628152303
1,51,Undirected,0.788976339
1,52,Undirected,0.690366546
1,53,Undirected,0.368848059
1,54,Undirected,0.686789559
1,55,Undirected,0.456477282
1,56,Undirected,0.266818655
1,57,Undirected,0.683974441
1,58,Undirected,0.79460071
1,59,Undirected,0.355748712
1,60,Undirected,0.479939171
1,61,Undirected,0.26173485
1,62,Undirected,0.898538275
1,63,Undirected,0.595718623
1,64,Undirected,0.469529896
1,65,Undirected,0.503592577
1,66,Undirected,0.582207659
1,67,Undirected,0.503894157
1,68,Undirected,0.857739693
1,69,Undirected,1.120446532
1,70,Undirected,0.736745121
1,71,Undirected,0.864980225
1,72,Undirected,1.761746058
1,73,Undirected,0.319381378
1,74,Undirected,0.391791259
1,75,Undirected,0.382868417
1,76,Undirected,0.466910704
1,77,Undirected,0.692530845
1,78,Undirected,0.820435406
1,79,Undirected,0.46322757
1,80,Undirected,0.70417983
1,81,Undirected,0.553199565
1,82,Undirected,0.746413604
1,83,Undirected,0.635454372
1,84,Undirected,0.435221493
1,85,Undirected,1.17568523
1,86,Undirected,0.387823589
1,87,Undirected,0.926291462
1,88,Undirected,1.297573468
1,89,Undirected,0.122827522
1,90,Undirected,1.014503234
1,91,Undirected,0.299212275
1,92,Undirected,0.422851077
1,93,Undirected,0.591431096
1,94,Undirected,0.602400216
1,95,Undirected,0.515829397
1,96,Undirected,0.443072136
1,97,Undirected,0.564000527
1,98,Undirected,0.500731756
1,99,Undirected,0.431914066
1,100,Undirected,0.713093341
1,101,Undirected,0.422743288
1,102,Undirected,0.241746922
1,103,Undirected,0.398841594
1,104,Undirected,0.46966775
1,105,Undirected,1.567550409
1,106,Undirected,0.655839212
1,107,Undirected,1.138699387
1,108,Undirected,0.587689606
1,109,Undirected,0.512600849
1,110,Undirected,0.715171617
1,111,Undirected,0.845546607
1,112,Undirected,0.529679399
1,113,Undirected,0.50749464
1,114,Undirected,0.664145133
1,115,Undirected,0.622205595
1,116,Undirected,0.765582376
1,117,Undirected,0.373174899
1,118,Undirected,0.519152012
1,119,Undirected,0.518424571
1,120,Undirected,0.479404538
1,121,Undirected,0.495304442
1,122,Undirected,0.295715048
1,123,Undirected,0.348190372
1,124,Undirected,0.49963347
1,125,Undirected,0.432575939
1,126,Undirected,0.730489264
1,127,Undirected,0.510708289
1,128,Undirected,0.243958061
1,129,Undirected,0.439533095
1,130,Undirected,0.679455733
1,131,Undirected,0.335152947
1,132,Undirected,0.627712706
1,133,Undirected,0.39646115
1,134,Undirected,2.177991904
1,135,Undirected,0.459235406
1,136,Undirected,0.394289819
1,137,Undirected,0.499330973
1,138,Undirected,0.344125417
1,139,Undirected,0.703601592
1,140,Undirected,1.222638999
1,141,Undirected,0.502364055
1,142,Undirected,0.602186712
1,143,Undirected,0.499577737
1,144,Undirected,0.43277712
1,145,Undirected,0.430357278
1,146,Undirected,0.569634096
1,147,Undirected,0.588815185
